Los Angeles Rams,LAR,D,18
San Francisco 49ers,SF,D,13
Buccaneers,TB,D,12
Buffalo Bills,BUF,D,11
Pittsburgh Steelers,PIT,D,9
Cincinnati Bengals,CIN,D,7
Kansas City Chiefs,KC,D,6
Dallas Cowboys,DAL,D,4
Las Vegas Raiders,LV,D,2
Philadelphia Eagles,PHI,D,2
Arizona Cardinals,ARI,D,-1
New England Patriots,NE,D,-6
#
Evan McPherson,CIN,K,14
Daniel Carlson,LV,K,13
Robbie Gould,SF,K,13
Matt Gay,LAR,K,10
Ryan Succop,TB,K,7
Greg Zuerlein,DAL,K,6
Harrison Butker,KC,K,6
Nick Folk,NE,K,5
Matt Prater,ARI,K,4
Chris Boswell,PIT,K,3
Jake Elliott,PHI,K,3
Tyler Bass,BUF,K,-1
#
Patrick Mahomes,KC,QB,47.06
Josh Allen,BUF,QB,45.92
Joe Burrow,CIN,QB,29.56
Matt Stafford,LAR,QB,28.61
Dak Prescott,DAL,QB,28.53
Tom Brady,TB,QB,28.51
Ben Roethlisberger,PIT,QB,26.17
Derek Carr,LV,QB,26.07
Jalen Hurts,PHI,QB,23.89
Mac Jones,NE,QB,23.08
Kyler Murray,ARI,QB,10.41
Jimmy Garappolo,SF,QB,10.31
Trey Lance,SF,QB,0
#
Jarick McKinnon,KC,RB,26.2
Devin Singletary,BUF,RB,24.4
Giovani Bernard,TB,RB,19.3
Josh Jacobs,LV,RB,16.7
Kenneth Gainwell,PHI,RB,16.5
Elijah Mitchell,SF,RB,15.5
Joe Mixon,CIN,RB,11.6
Boston Scott,PHI,RB,10.5
Cam Akers,LAR,RB,10.5
Rhamondre Stevenson,NE,RB,10
James Conner,ARI,RB,9.4
Brandon Boldin,NE,RB,6.7
Sony Michel,LAR,RB,5.8
Miles Sanders,PHI,RB,5.8
Benny Snell,PIT,RB,5.1
Damien Harris,NE,RB,4.7
Tony Pollard,DAL,RB,4.6
Ezekiel Elliott,DAL,RB,4.1
Chase Edmonds,ARI,RB,2.8
Najee Harris,PIT,RB,2.8
Jordan Howard,PHI,RB,1.7
Jalen Richard,LV,RB,1.4
Darrel Williams,KC,RB,0.4
Derrick Gore,KC,RB,0.3
Semaje Perine,CIN,RB,0.2
Corey Clement,DAL,RB,0
Zach Moss,BUF,RB,0
Clyde Edwards-Helaire,KC,RB,0
Le'Veon Bell,TB,RB,0
Ronald Jones,TB,RB,0
Leonard Fournette,TB,RB,0
JaMychal Hasty,SF,RB,0
Troy Sermon,SF,RB,0
Jeff Wilson,SF,RB,0
Matt Brieda,BUF,RB,0
#
Travis Kelce,KC,TE,26.21
Dawson Knox,BUF,TE,25.9
C.J. Uzomah,CIN,TE,18.4
Dalton Schultz,DAL,TE,15.9
Dallas Goedert,PHI,TE,15.2
Darren Waller,LV,TE,14.6
Rob Gronkowski,TB,TE,14.1
Tyler Higbee,LAR,TE,7.6
Pat Friermuth,PIT,TE,6.5
Cameron Brate,TB,TE,5.9
Zach Ertz,ARI,TE,5.1
Hunter Henry,NE,TE,4
George Kittle,SF,TE,2.8
Foster Moreau,LV,TE,0
Eric Ebron,PIT,TE,0
Jonnu Smith,NE,TE,0
Ross Dwelley,SF,TE,0
Blake Jarwin,DAL,TE,0
#
Kendrick Bourne,NE,WR,26.7
Mike Evans,TB,WR,26.7
Ja'Marr Chase,CIN,WR,22.9
Byron Pringle,KC,WR,20.7
Deebo Samuel,SF,WR,20
Amari Cooper,DAL,WR,18.4
Odell Beckham,LAR,WR,17.33
Zay Jones,LV,WR,17.1
Cooper Kupp,LAR,WR,17.1
Tyreek Hill,KC,WR,16.7
Diontae Johnson,PIT,WR,14.4
Hunter Renfrow,LV,WR,13.8
Tyler Boyd,CIN,WR,12.9
Gabriel Davis,BUF,WR,12.1
DeVonta Smith,PHI,WR,12
Emmanuel Sanders,BUF,WR,11.6
Demarcus Robinson,KC,WR,11.6
Brandon Aiyuk,SF,WR,11.6
Cedrick Wilson,DAL,WR,11.2
Christian Kirk,ARI,WR,11.1
Jakobi Meyers,NE,WR,10
Stefon Diggs,BUF,WR,9
Rondale Moore,ARI,WR,8.2
Bryan Edwards,LV,WR,7.1
Mecole Hardman,KC,WR,6.9
Jauan Jennings,SF,WR,5.9
Chase Claypool,PIT,WR,5.5
Quez Watkins,PHI,WR,5.5
Van Jefferson,LAR,WR,5.1
Tyler Johnson,TB,WR,5
Ray-Ray McCloud,PIT,WR,4
CeeDee Lamb,DAL,WR,3.6
DeSean Jackson,LV,WR,3.6
Cole Beasley,BUF,WR,2.9
Nelson Agholor,NE,WR,2.8
Tee Higgins,CIN,WR,2
Scotty Miller,TB,WR,1.8
Breshad Perriman,TB,WR,1.5
Josh Gordon,KC,WR,0
AJ Green,ARI,WR,0
N'Keal Harry,NE,WR,0
Trent Sherfield,SF,WR,0
Greg Ward,PHI,WR,0
Jalen Reagor,PHI,WR,-0.8
